member_casual,weekday,number_of_rides,avg_ride_length_mins
casual,Sunday,105288,20.91503753071086
casual,Monday,67309,15.630884565206618
casual,Tuesday,69096,13.901507780968366
casual,Wednesday,78999,13.498103152149318
casual,Thursday,84196,14.315052430249233
casual,Friday,100984,16.65303020099322
casual,Saturday,126903,19.83160241588902
member,Sunday,154866,12.597227259046095
member,Monday,208896,10.969320966646716
member,Tuesday,235889,11.176905915069172
member,Wednesday,255780,11.066281654680388
member,Thursday,240952,11.193183021447165
member,Friday,225188,11.470364818578465
member,Saturday,184504,12.490508918054875
